# BEADS_RUST conformance cases: name<TAB>argv (JSON string array)
# Every case runs in the ws-run sandbox (scripts/ws-run.sh --help): a fresh workspace at /mnt/proj, a pinned
# instant, a cleared environment. Leading pseudo-arguments select the inputs:
#   @fx=<name>    goldens/fixtures/<name>.jsonl becomes .beads/issues.jsonl (default: empty; `none` = no .beads at all)
#   @time=<UTC>   the pinned instant (default 2026-01-02 03:04:05)
#   @scn=<name>   a multi-step scenario, goldens/scenarios/<name>.scn
# When a run changes the store, `--- .beads/issues.jsonl ---` (and last-touched) follow the command's stdout.
# Capture:  scripts/golden-capture.sh goldens/cases.tsv goldens --timeout 60 -- scripts/ws-run.sh --oracle br --no-db ::
# Floor:    scripts/floor.sh goldens/cases.tsv goldens --repeat 3 -- scripts/ws-run.sh --oracle br --no-db ::
# Check:    LANE_WRAP=scripts/ws-run.sh scripts/lanes.sh goldens/cases.tsv goldens "$PWD/port/main.bend"
usage_none	[]
r16_epic_r12	["@fx=r12_epics", "epic", "status"]
r16_epic_r12_json	["@fx=r12_epics", "epic", "status", "--json"]
r16_epic_r12_eligible	["@fx=r12_epics", "epic", "status", "--eligible-only"]
r16_epic_hier	["@fx=hierarchy", "epic", "status", "--json"]
r16_epic_q	["@fx=parents", "epic", "status", "-q"]
r16_close_twice_json	["@fx=basic", "close", "proj-mta", "proj-mta", "--json"]
r16_close_twice_q	["@fx=basic", "close", "proj-mta", "proj-mta", "-q"]
r16_reopen_twice_json	["@fx=basic", "reopen", "proj-mkh", "proj-mkh", "--json"]
r16_reopen_twice_q	["@fx=basic", "reopen", "proj-mkh", "proj-mkh", "--quiet"]
r16_update_twice_json	["@fx=basic", "update", "proj-mta", "proj-mta", "--priority", "0", "--json"]
r16_update_twice_q	["@fx=basic", "update", "proj-mta", "proj-mta", "--priority", "0", "-q"]
r16_defer_twice_json	["@fx=basic", "defer", "proj-mta", "proj-mta", "--json"]
r16_undefer_twice_json	["@fx=due", "undefer", "proj-84a", "proj-84a", "--json"]
r16_undefer_twice_q	["@fx=due", "undefer", "proj-84a", "proj-84a", "-q"]
r16_close_partial_dup	["@fx=basic", "close", "mta", "proj-mta"]
r16_claim_closed_json	["@fx=basic", "update", "proj-mkh", "--claim", "--json"]
r16_claim_held_json	["@fx=basic", "update", "proj-170", "--claim", "--json"]
r16_claim_held_same_actor	["@fx=basic", "update", "proj-170", "--claim", "--actor", "alice", "--json"]
r16_claim_blocked_json	["@fx=hierarchy", "update", "proj-6ja", "--claim", "--json"]
r16_claim_inprog_json	["@fx=hierarchy", "update", "proj-t11", "--claim", "--json"]
r16_claim_deferred	["@fx=basic", "update", "proj-7vm", "--claim"]
r16_claim_q	["@fx=basic", "update", "proj-b75", "--claim", "-q"]
r16_label_list_q	["@fx=basic", "label", "list", "-q"]
r16_label_list_basic	["@fx=basic", "label", "list"]
r16_label_list_prec_json	["@fx=precision", "label", "list", "--json"]
r16_comments_author_empty_json	["@fx=basic", "comments", "add", "proj-mta", "hello", "--author", "", "--json"]
r16_comments_author_empty	["@fx=basic", "comments", "add", "proj-mta", "hello", "--author", ""]
r16_ready_par_parent_json_limit	["@fx=parents", "ready", "--parent", "proj-9vo", "--recursive", "--limit", "2"]
r16_ready_par_sort_oldest	["@fx=parents", "ready", "--sort", "oldest", "--json"]
r16_ready_par_unassigned	["@fx=parents", "ready", "--unassigned", "--sort", "priority"]
r16_ready_hier	["@fx=hierarchy", "ready", "--json"]
r16_ready_hier_assignee	["@fx=hierarchy", "ready", "--assignee", "nobody"]
r16_ready_large_assignee	["@fx=large", "ready", "--assignee", "alice", "--limit", "5"]
r16_ready_large_label	["@fx=large", "ready", "--label", "db", "--limit", "3", "--json"]
r16_ready_large_label2	["@fx=large", "ready", "-l", "auth", "-l", "backend", "--limit", "4"]
r16_ready_large_unassigned	["@fx=large", "ready", "--unassigned", "--limit", "5", "--sort", "priority"]
r16_ready_large_limit0	["@fx=large", "ready", "--limit", "0"]
r16_ready_large_t_epic	["@fx=large", "ready", "-t", "epic", "--limit", "3"]
r16_ready_large_hybrid	["@fx=large", "ready", "--sort", "hybrid", "--limit", "6"]
r16_ready_tree_parent	["@fx=tree", "ready", "--parent", "proj-abk", "--limit", "3"]
r16_blocked_hier	["@fx=hierarchy", "blocked"]
r16_blocked_hier_detailed	["@fx=hierarchy", "blocked", "--detailed", "--json"]
r16_blocked_par	["@fx=parents", "blocked"]
r16_blocked_par_detailed	["@fx=parents", "blocked", "--detailed"]
r16_blocked_hier_label	["@fx=hierarchy", "blocked", "--label", "x"]
r16_blocked_hier_limit1_json	["@fx=hierarchy", "blocked", "--limit", "1", "--json"]
r16_blocked_large	["@fx=large", "blocked"]
r16_blocked_cycle3_detailed	["@fx=cycle_three", "blocked", "--detailed"]
r16_blocked_q	["@fx=hierarchy", "blocked", "-q"]
r16_show_empty_optionals	["@fx=empty_optionals", "show", "proj-aaa"]
r16_show_empty_optionals_two	["@fx=empty_optionals", "show", "proj-aaa", "proj-aab"]
r16_show_prec_aaf_aaa	["@fx=precision", "show", "proj-aaa", "proj-aaf"]
r16_claim_deferred_json	["@fx=basic", "update", "proj-7vm", "--claim", "--json"]
r16_claim_deferred_due	["@fx=due", "update", "proj-84a", "--claim", "--json"]
r16_update_deferred_inprog	["@fx=basic", "update", "proj-7vm", "--status", "in_progress", "--assignee", "me"]
r16_dep_add_basic_pc_rev	["@fx=basic", "dep", "add", "proj-uly", "proj-170", "-t", "parent-child"]
r16_dep_add_par_rev_blocks	["@fx=parents", "dep", "add", "proj-9vo", "proj-9vo.1"]
r16_dep_add_par_rev_related	["@fx=parents", "dep", "add", "proj-9vo", "proj-9vo.1", "-t", "related"]
r16_dep_add_par_pc_grand_rev	["@fx=parents", "dep", "add", "proj-9vo", "proj-9vo.1.1", "-t", "parent-child", "--json"]
r16_dep_add_tomb_self_json	["@fx=n163_tomb", "dep", "add", "proj-tmb", "proj-tmb", "--json"]
r16_dep_add_tomb_other	["@fx=n163_tomb", "dep", "add", "proj-tmb", "proj-0ad"]
r16_dep_add_to_tomb	["@fx=n163_tomb", "dep", "add", "proj-0ad", "proj-tmb"]
# round 16 repairs (2026-09-25): the claim's status checks, parent-child cycles, empty stored texts in show
error_update_claim_deferred_held	["@fx=claim_deferred_held", "update", "proj-a1", "--claim"]
error_update_claim_deferred_blocked_force	["@fx=claim_deferred_blocked", "update", "proj-a1", "--claim", "--force"]
error_update_claim_closed_blocked	["@fx=claim_closed_blocked", "update", "proj-a1", "--claim", "--json"]
error_dep_add_pc_loop	["@fx=pc_loop", "dep", "add", "proj-p1", "proj-c1", "-t", "parent-child"]
error_dep_add_blocks_through_pc	["@fx=pc_loop", "dep", "add", "proj-c1", "proj-p1", "--json"]
dep_add_pc_over_reverse_blocks	["@fx=pc_blocks_reverse", "dep", "add", "proj-p1", "proj-c1", "-t", "parent-child"]
show_empty_texts	["@fx=empty_texts", "show", "proj-a1"]
show_empty_texts_json	["@fx=empty_texts", "show", "proj-a1", "--json"]
r17_cfg_bd_q	["@fx=cfg_bd", "q", "Quick prefixed"]
r17_cfg_bd_parent_chain	["@fx=cfg_bd", "create", "Kid", "--parent", "bd-zzz"]
r17_cfg_quoted_json	["@fx=cfg_quoted", "create", "Web", "--json"]
r17_cfg_nested_q	["@fx=cfg_nested", "q", "Nested quick"]
r17_cfg_bd_silent	["@fx=cfg_bd", "create", "Silent bd", "--silent"]
r17_cfg_bd_deps_missing	["@fx=cfg_bd", "create", "Dep", "--deps", "bd-abc"]
r17_par_child_next	["@fx=parents", "create", "Fourth", "--parent", "proj-9vo", "--json"]
r17_par_child_plain	["@fx=parents", "create", "Fourth", "--parent", "proj-9vo"]
r17_par_grand_next	["@fx=parents", "create", "Grand2", "--parent", "proj-9vo.1", "--silent"]
r17_par_child_of_loose	["@fx=parents", "create", "First kid", "--parent", "proj-3av", "--json"]
r17_par_child_short	["@fx=parents", "create", "Short", "--parent", "9vo", "--json"]
r17_par_child_q	["@fx=parents", "q", "Qkid", "--parent", "proj-9vo.2"]
r17_tree_child_12	["@fx=tree", "create", "Twelve", "--parent", "proj-abk", "--silent"]
r17_tree_grand_10	["@fx=tree", "create", "G10b", "--parent", "proj-abk.10", "--json"]
r17_par_child_deps	["@fx=parents", "create", "Kid dep", "--parent", "proj-9vo", "--deps", "proj-3av", "--json"]
r17_create_deps_typed	["@fx=basic", "create", "Typed deps", "--deps", "blocks:proj-mta,related:proj-5u2", "--json"]
r17_create_deps_pc	["@fx=basic", "create", "PC dep", "--deps", "parent-child:proj-uly", "--json"]
r17_create_deps_discovered	["@fx=basic", "create", "Found", "--deps", "discovered-from:proj-ptp"]
r17_create_deps_badtype	["@fx=basic", "create", "Bad", "--deps", "frob:proj-mta"]
r17_create_deps_missing	["@fx=basic", "create", "Miss", "--deps", "proj-zzz"]
r17_create_deps_dup	["@fx=basic", "create", "Dup", "--deps", "proj-mta,proj-mta", "--json"]
r17_create_deps_space	["@fx=basic", "create", "Sp", "--deps", "proj-mta, proj-5u2", "--json"]
r17_create_deps_empty	["@fx=basic", "create", "Empty dep", "--deps", "", "--json"]
r17_create_deps_short	["@fx=basic", "create", "Short dep", "--deps", "mta", "--json"]
r17_create_labels_dup	["create", "L", "--labels", "b,a,b,A", "--json"]
r17_create_labels_empty_item	["create", "L", "--labels", "a,,b", "--json"]
r17_create_labels_space	["create", "L", "--labels", " a , b ", "--json"]
r17_create_labels_colon	["create", "L", "-l", "area:ui,v1.2", "--json"]
r17_create_labels_unicode	["create", "L", "-l", "日本", "--json"]
r17_create_labels_only_comma	["create", "L", "-l", ", ", "--json"]
r17_create_estimate_zero	["create", "E", "--estimate", "0", "--json"]
r17_create_extref_plain	["create", "X", "--external-ref", "JIRA-7"]
r17_create_extref_dup	["@fx=v_extref_space", "create", "X", "--external-ref", "gh 1", "--json"]
r17_create_all_silent	["@fx=basic", "create", "Full", "-t", "bug", "-p", "1", "-l", "x", "--deps", "proj-mta", "--parent", "proj-uly", "--silent"]
r17_create_design_ac	["create", "D", "--design", "Des", "--acceptance", "AC", "--notes", "N", "--json"]
r17_create_type_word	["create", "T", "-t", "Feature", "--json"]
r17_q_silent	["q", "Quiet q", "--silent"]
r17_q_json_labels	["q", "Qj", "-l", "z,a", "--json"]
r17_q_estimate	["q", "Qe", "--estimate", "5"]
r17_create_owner_json	["create", "O", "--owner", "ann@example.com", "--json"]
r17_upd_title_json	["@fx=parents", "update", "proj-9vo.1", "--title", "Renamed child", "--json"]
r17_upd_title_empty	["@fx=basic", "update", "proj-mta", "--title", ""]
r17_upd_title_blank	["@fx=basic", "update", "proj-mta", "--title", "   "]
r17_upd_desc	["@fx=basic", "update", "proj-mta", "-d", "New desc", "--json"]
r17_upd_desc_empty	["@fx=basic", "update", "proj-mta", "-d", "", "--json"]
r17_upd_design	["@fx=basic", "update", "proj-mta", "--design", "Arch", "--json"]
r17_upd_design_empty	["@fx=basic", "update", "proj-mta", "--design", ""]
r17_upd_notes_plain	["@fx=basic", "update", "proj-mta", "--notes", "N1"]
r17_upd_ac	["@fx=basic", "update", "proj-mta", "--acceptance-criteria", "Must pass", "--json"]
r17_upd_ac_then_add	["@fx=basic", "update", "proj-mta", "--acceptance-criteria", "base", "--add-acceptance", "extra", "--json"]
r17_upd_add_ac_check	["@fx=basic", "update", "proj-mta", "--add-acceptance", "one", "--check-acceptance", "1", "--json"]
r17_upd_check_out_of_range	["@fx=basic", "update", "proj-mta", "--check-acceptance", "3"]
r17_upd_uncheck_0	["@fx=basic", "update", "proj-mta", "--uncheck-acceptance", "0", "--json"]
r17_upd_set_labels_empty	["@fx=basic", "update", "proj-170", "--set-labels", "", "--json"]
r17_upd_set_add	["@fx=basic", "update", "proj-170", "--set-labels", "a", "--add-label", "b", "--json"]
r17_upd_set_remove	["@fx=basic", "update", "proj-170", "--set-labels", "a,b", "--remove-label", "a", "--json"]
r17_upd_add_existing	["@fx=basic", "update", "proj-170", "--add-label", "auth", "--json"]
r17_upd_remove_missing	["@fx=basic", "update", "proj-170", "--remove-label", "nope", "--json"]
r17_upd_add_remove_same	["@fx=basic", "update", "proj-170", "--add-label", "z", "--remove-label", "z", "--json"]
r17_upd_add_label_multi	["@fx=basic", "update", "proj-b75", "--add-label", "b", "--add-label", "a", "--json"]
r17_upd_add_label_comma	["@fx=basic", "update", "proj-b75", "--add-label", "b,a", "--json"]
r17_upd_remove_plain	["@fx=basic", "update", "proj-170", "--remove-label", "auth"]
r17_upd_reparent_child	["@fx=parents", "update", "proj-9vo.2", "--parent", "proj-3av", "--json"]
r17_upd_clear_parent_dotted	["@fx=parents", "update", "proj-9vo.1", "--parent", "", "--json"]
r17_upd_clear_parent_none	["@fx=parents", "update", "proj-3av", "--parent", ""]
r17_upd_parent_to_grandchild	["@fx=parents", "update", "proj-9vo", "--parent", "proj-9vo.1.1"]
r17_upd_parent_same	["@fx=parents", "update", "proj-9vo.1", "--parent", "proj-9vo", "--json"]
r17_upd_parent_hier	["@fx=hierarchy", "update", "proj-ig8", "--parent", "proj-in9", "--json"]
r17_upd_due_abs	["@time=2026-04-10 08:00:00", "@fx=basic", "update", "proj-mta", "--due", "2026-05-01", "--json"]
r17_upd_due_clear	["@fx=due", "update", "proj-j1m", "--due", "", "--json"]
r17_upd_defer_clear	["@fx=due", "update", "proj-84a", "--defer", "", "--json"]
r17_upd_defer_past	["@time=2026-04-10 08:00:00", "@fx=basic", "update", "proj-mta", "--defer", "2026-01-01", "--json"]
r17_upd_due_bad	["@fx=basic", "update", "proj-mta", "--due", "tomorrowish"]
r17_upd_defer_plain	["@time=2026-04-10 08:00:00", "@fx=basic", "update", "proj-mta", "--defer", "+1d"]
r17_upd_status_deferred	["@fx=basic", "update", "proj-mta", "--status", "deferred", "--json"]
r17_upd_status_blocked_plain	["@fx=basic", "update", "proj-mta", "--status", "blocked"]
r17_upd_status_pinned	["@fx=basic", "update", "proj-mta", "--status", "pinned", "--json"]
r17_upd_status_bogus	["@fx=basic", "update", "proj-mta", "--status", "bogus"]
r17_upd_status_tombstone	["@fx=basic", "update", "proj-mta", "--status", "tombstone"]
r17_upd_status_ip_closed	["@fx=basic", "update", "proj-mkh", "--status", "in_progress", "--json"]
r17_upd_status_deferred_to_open	["@fx=basic", "update", "proj-7vm", "--status", "open", "--json"]
r17_upd_status_upper	["@fx=basic", "update", "proj-mta", "--status", "IN_PROGRESS"]
r17_upd_ext_ref	["@fx=basic", "update", "proj-mta", "--external-ref", "gh-9", "--json"]
r17_upd_ext_ref_clear	["@fx=basic", "update", "proj-170", "--external-ref", "", "--json"]
r17_upd_owner	["@fx=basic", "update", "proj-mta", "--owner", "zed", "--json"]
r17_upd_assignee_clear	["@fx=basic", "update", "proj-ptp", "--assignee", "", "--json"]
r17_upd_estimate_neg	["@fx=basic", "update", "proj-mta", "--estimate", "-5"]
r17_upd_type_epic	["@fx=basic", "update", "proj-mta", "--type", "epic"]
r17_upd_many_fields_plain	["@fx=basic", "update", "proj-mta", "--title", "T2", "-d", "D2", "--design", "G", "--notes", "N", "-p", "3", "--add-label", "q"]
r17_del_parent_children	["@fx=parents", "delete", "proj-9vo"]
r17_del_parent_children_json	["@fx=parents", "delete", "proj-9vo", "--json"]
r17_del_parent_force	["@fx=parents", "delete", "proj-9vo", "--force", "--json"]
r17_del_parent_cascade	["@fx=parents", "delete", "proj-9vo", "--cascade", "--json"]
r17_del_parent_cascade_plain	["@fx=parents", "delete", "proj-9vo", "--cascade"]
r17_del_parent_cascade_dry	["@fx=parents", "delete", "proj-9vo", "--cascade", "--dry-run", "--json"]
r17_del_blocker_force	["@fx=parents", "delete", "proj-3av", "--force"]
r17_del_blocker	["@fx=parents", "delete", "proj-3av", "--json"]
r17_del_leaf_grand	["@fx=parents", "delete", "proj-9vo.1.1", "--json"]
r17_del_mid_child	["@fx=parents", "delete", "proj-9vo.1"]
r17_del_hier_cascade	["@fx=hierarchy", "delete", "proj-ig8", "--cascade", "--json"]
r17_del_hier_cascade_dry	["@fx=hierarchy", "delete", "proj-ig8", "--cascade", "--dry-run"]
r17_del_hier_force_dry	["@fx=hierarchy", "delete", "proj-in9", "--force", "--dry-run", "--json"]
r17_del_graph_two	["@fx=graph", "delete", "proj-tip", "proj-kxh", "--json"]
r17_del_graph_both_blockers	["@fx=graph", "delete", "proj-ah0", "proj-kxh", "proj-tip", "--json"]
r17_del_short_ids	["@fx=graph", "delete", "tip", "697"]
r17_del_from_file_md	["@file=two_lines.txt", "@fx=basic", "delete", "--from-file", "two_lines.txt", "--json"]
r17_del_closed	["@fx=basic", "delete", "proj-mkh", "--json"]
r17_del_tree_cascade_hard	["@fx=tree", "delete", "proj-abk.3", "--cascade", "--hard"]
r17_del_hard_dry	["@fx=basic", "delete", "proj-5u2", "--hard", "--dry-run", "--json"]
r17_close_parent_open_kids	["@fx=parents", "close", "proj-9vo"]
r17_close_parent_open_kids_json	["@fx=parents", "close", "proj-9vo", "--json"]
r17_close_parent_force	["@fx=parents", "close", "proj-9vo", "--force", "--reason", "All done", "--json"]
r17_close_blocked_child	["@fx=parents", "close", "proj-9vo.3"]
r17_close_blocked_child_force	["@fx=parents", "close", "proj-9vo.3", "--force"]
r17_close_blocker_suggest	["@fx=parents", "close", "proj-3av", "--suggest-next"]
r17_close_blocker_suggest_json	["@fx=parents", "close", "proj-3av", "--suggest-next", "--json"]
r17_close_grand_suggest	["@fx=parents", "close", "proj-9vo.1.1", "--suggest-next", "--json"]
r17_close_graph_tip_suggest	["@fx=graph", "close", "proj-tip", "--suggest-next"]
r17_close_graph_ah0_kxh	["@fx=graph", "close", "proj-tip", "proj-ah0", "proj-kxh", "--suggest-next", "--json"]
r17_close_hier_ip	["@fx=hierarchy", "close", "proj-t11", "--reason", "Done busy", "--json"]
r17_close_hier_blocked	["@fx=hierarchy", "close", "proj-6ja", "--json"]
r17_close_reason_empty	["@fx=basic", "close", "proj-mta", "--reason", "", "--json"]
r17_close_session_tc_plain	["@fx=parents", "close", "proj-3av", "--session", "S1", "--transition-comment", "wrap"]
r17_close_deferred_due	["@fx=due", "close", "proj-84a", "--reason", "nah"]
r17_reopen_reason_plain	["@fx=basic", "reopen", "proj-mkh", "--reason", "Again"]
r17_reopen_due_closed	["@fx=due", "reopen", "proj-upa", "--json"]
r17_reopen_deferred	["@fx=basic", "reopen", "proj-7vm"]
r17_close_then_ptp_force	["@fx=basic", "close", "proj-ptp", "--force", "--json"]
r17_search_type	["@fx=basic", "search", "a", "--type", "bug"]
r17_search_type_json	["@fx=basic", "search", "e", "--type", "task", "--json"]
r17_search_status_multi	["@fx=basic", "search", "e", "--status", "open", "--status", "deferred"]
r17_search_status_all	["@fx=basic", "search", "e", "--status", "all"]
r17_search_label_and	["@fx=basic", "search", "e", "--label", "backend", "--label", "db"]
r17_search_label_any	["@fx=basic", "search", "e", "--label-any", "auth", "--label-any", "db"]
r17_search_sort_title	["@fx=basic", "search", "e", "--sort", "title"]
r17_search_sort_title_rev	["@fx=basic", "search", "e", "--sort", "title", "--reverse"]
r17_search_sort_created	["@fx=graph", "search", "e", "--sort", "created_at", "--json"]
r17_search_sort_bad	["@fx=basic", "search", "e", "--sort", "bogus"]
r17_search_limit0	["@fx=basic", "search", "e", "--limit", "0"]
r17_search_case_unicode	["@fx=basic", "search", "ünïcödé"]
r17_search_case_upper_unicode	["@fx=basic", "search", "ÜNÏ"]
r17_search_quote	["@fx=basic", "search", "“quotes”"]
r17_search_backslash	["@fx=basic", "search", "\\"]
r17_search_id	["@fx=basic", "search", "proj-mta"]
r17_search_id_short	["@fx=basic", "search", "mta"]
r17_search_multiword	["@fx=basic", "search", "user", "auth"]
r17_search_space	["@fx=basic", "search", " "]
r17_search_desc	["@fx=basic", "search", "schema", "--json"]
r17_search_priority	["@fx=basic", "search", "e", "-p", "1"]
r17_search_hier_long	["@fx=hierarchy", "search", "branch", "--long"]
r17_search_deferred	["@fx=basic", "search", "config"]
r17_search_deferred_flag	["@fx=basic", "search", "config", "--deferred"]
r17_list_long_parents	["@fx=parents", "list", "--long"]
r17_list_long_graph	["@fx=graph", "list", "--long", "--json"]
r17_list_long_due	["@fx=due", "list", "--long", "--all"]
r17_list_format_json	["@fx=basic", "list", "--format", "json"]
r17_list_format_text	["@fx=basic", "list", "--format", "text"]
r17_list_format_csv	["@fx=basic", "list", "--format", "csv"]
r17_list_format_csv_all	["@fx=basic", "list", "--format", "csv", "--all"]
r17_list_format_csv_parents	["@fx=parents", "list", "--format", "csv"]
r17_list_format_json_long	["@fx=basic", "list", "--format", "json", "--long"]
r17_list_long_wrap	["@fx=basic", "list", "--long", "--wrap"]
r17_list_wrap	["@fx=basic", "list", "--wrap"]
r17_list_long_reverse	["@fx=basic", "list", "--long", "--sort", "priority", "--reverse"]
r17_list_long_tree	["@fx=tree", "list", "--long", "--tree"]
r17_list_csv_unicode	["@fx=unicode_desc", "list", "--format", "csv"]
r17_early_upd_prio	["@time=2025-12-01 00:00:00", "@fx=basic", "update", "proj-mta", "-p", "3"]
r17_early_upd_status	["@time=2025-12-01 00:00:00", "@fx=basic", "update", "proj-mta", "--status", "in_progress"]
r17_early_upd_notes	["@time=2025-12-01 00:00:00", "@fx=basic", "update", "proj-mta", "--notes", "n"]
r17_early_upd_label	["@time=2025-12-01 00:00:00", "@fx=basic", "update", "proj-mta", "--add-label", "x"]
r17_early_upd_assignee	["@time=2025-12-01 00:00:00", "@fx=basic", "update", "proj-mta", "--assignee", "zed"]
r17_early_upd_parent	["@time=2025-12-01 00:00:00", "@fx=basic", "update", "proj-mta", "--parent", "proj-uly"]
r17_early_upd_claim	["@time=2025-12-01 00:00:00", "@fx=basic", "update", "proj-mta", "--claim"]
r17_early_close	["@time=2025-12-01 00:00:00", "@fx=basic", "close", "proj-mta"]
r17_early_reopen	["@time=2025-12-01 00:00:00", "@fx=basic", "reopen", "proj-mkh"]
r17_early_defer	["@time=2025-12-01 00:00:00", "@fx=basic", "defer", "proj-mta"]
r17_early_undefer	["@time=2025-12-01 00:00:00", "@fx=basic", "undefer", "proj-7vm"]
r17_early_label_add	["@time=2025-12-01 00:00:00", "@fx=basic", "label", "add", "proj-mta", "x"]
r17_early_comment	["@time=2025-12-01 00:00:00", "@fx=basic", "comments", "add", "proj-mta", "hi"]
r17_early_dep_add	["@time=2025-12-01 00:00:00", "@fx=basic", "dep", "add", "proj-5u2", "proj-mta"]
r17_early_delete	["@time=2025-12-01 00:00:00", "@fx=basic", "delete", "proj-5u2"]
r17_early_create	["@time=2025-12-01 00:00:00", "@fx=basic", "create", "Early", "--parent", "proj-uly"]
r17_early_close_json	["@time=2025-12-01 00:00:00", "@fx=basic", "close", "proj-mta", "proj-b75", "--json"]
r17_late_parent_same	["@time=2026-06-01 00:00:00", "@fx=parents", "update", "proj-9vo.1", "--parent", "proj-9vo", "--json"]
r17_late_clear_parent_none	["@time=2026-06-01 00:00:00", "@fx=parents", "update", "proj-3av", "--parent", ""]
r17_late_basic_parent_same	["@fx=basic", "update", "proj-170", "--parent", "proj-uly", "--json"]
r17_late_clear_parent_none_basic	["@fx=basic", "update", "proj-mta", "--parent", ""]
r17_late_close_blocker_suggest	["@time=2026-06-01 00:00:00", "@fx=parents", "close", "proj-3av", "--suggest-next"]
r17_late_close_parent_force	["@time=2026-06-01 00:00:00", "@fx=parents", "close", "proj-9vo", "--force", "--json"]
r17_late_graph_tip_suggest	["@time=2026-06-01 00:00:00", "@fx=graph", "close", "proj-tip", "--suggest-next"]
r17_late_title_child	["@time=2026-06-01 00:00:00", "@fx=parents", "update", "proj-9vo.1", "--title", "Renamed child", "--json"]
r17_set_add_plain	["@fx=basic", "update", "proj-170", "--set-labels", "a", "--add-label", "b"]
r17_set_add_remove	["@fx=basic", "update", "proj-mta", "--add-label", "n", "--set-labels", "s", "--remove-label", "db", "--json"]
r17_add_remove_same_plain	["@fx=basic", "update", "proj-mta", "--add-label", "db", "--remove-label", "db"]
r17_add_remove_new_same	["@fx=basic", "update", "proj-mta", "--remove-label", "q", "--add-label", "q", "--json"]
r17_close_reason_empty_plain	["@fx=basic", "close", "proj-mta", "--reason", ""]
r17_close_reason_blank	["@fx=basic", "close", "proj-mta", "--reason", "   ", "--json"]
r17_reopen_reason_empty	["@fx=basic", "reopen", "proj-mkh", "--reason", "", "--json"]
r17_search_fold_arger	["@fx=unicode_desc", "search", "ÄRGER"]
r17_search_fold_buro	["@fx=unicode_desc", "search", "büRO", "--json"]
r17_search_fold_title_nonascii	["@fx=basic", "search", "ÜNÏCÖDÉ", "--json"]
r17_list_title_contains_fold	["@fx=basic", "list", "--title-contains", "ÜNÏ"]
r17_list_format_json_limit	["@fx=basic", "list", "--format", "json", "--limit", "2"]
r17_list_format_csv_limit	["@fx=basic", "list", "--format", "csv", "--limit", "2", "--sort", "title"]
r17_list_format_env_json	["@env=BR_OUTPUT_FORMAT=json", "@fx=basic", "list", "--limit", "1"]
r17_list_format_csv_empty	["list", "--format", "csv"]
r17_list_format_json_empty	["list", "--format", "json"]
r17_list_format_csv_json	["@fx=basic", "list", "--format", "csv", "--json", "--limit", "1"]
r17_list_format_text_json	["@fx=basic", "list", "--format", "text", "--json", "--limit", "1"]
r17_list_format_csv_labels	["@fx=basic", "list", "--format", "csv", "--label", "backend"]
r17_deps_blocks_empty_id	["@fx=basic", "create", "X", "--deps", "blocks:"]
r17_deps_colon_first	["@fx=basic", "create", "X", "--deps", ":proj-mta"]
r17_deps_upper_type	["@fx=basic", "create", "X", "--deps", "Blocks:proj-mta", "--json"]
r17_deps_badtype_json	["@fx=basic", "create", "X", "--deps", "frob:proj-mta", "--json"]
r17_deps_trailing_comma	["@fx=basic", "create", "X", "--deps", "proj-mta,", "--json"]
r17_deps_waits_for	["@fx=basic", "create", "X", "--deps", "waits-for:proj-mta", "--json"]
r17_q_deps_empty	["q", "X", "--deps", ""]
r17_upd_tombstone_json	["@fx=basic", "update", "proj-mta", "--status", "tombstone", "--json"]
r17_upd_tombstone_upper	["@fx=basic", "update", "proj-mta", "--status", "Tombstone"]
r17_uncheck0_with_items	["@fx=basic", "update", "proj-mta", "--add-acceptance", "a", "--uncheck-acceptance", "0"]
r17_check0	["@fx=basic", "update", "proj-mta", "--check-acceptance", "0"]
r17_upd_desc_shrink_plain	["@fx=basic", "update", "proj-mta", "-d", "New desc"]
r17_upd_notes_shrink_json	["@fx=basic", "update", "proj-b75", "-d", "x", "--json"]
list_csv_quoting	["@fx=csv_quoting", "list", "--format", "csv", "--limit", "0", "--sort", "created"]
list_csv_quoting_fields	["@fx=csv_quoting", "list", "--format", "csv", "--limit", "0", "--sort", "created", "--fields", "id,description,notes,owner"]
list_csv_fields_unknown	["@fx=basic", "list", "--format", "csv", "--all", "--fields", "id,labels,foo,due_at,defer_until,external_ref,closed_at"]
list_csv_fields_none_known	["@fx=basic", "list", "--format", "csv", "--limit", "2", "--fields", "ID, Title"]
list_csv_fields_commas	["@fx=basic", "list", "--format", "csv", "--limit", "2", "--fields", ", "]
list_csv_fields_empty	["@fx=basic", "list", "--format", "csv", "--limit", "2", "--fields", ""]
list_csv_fields_repeat	["@fx=basic", "list", "--format", "csv", "--limit", "2", "--fields", "title, title,,id"]
list_csv_env	["@env=BR_OUTPUT_FORMAT=csv", "@fx=basic", "list", "--limit", "1"]
list_format_json_quiet	["@fx=basic", "list", "--format", "json", "--quiet", "--limit", "1"]
list_format_text_env_json	["@env=BR_OUTPUT_FORMAT=json", "@fx=basic", "list", "--format", "text", "--limit", "1"]
search_csv	["@fx=basic", "search", "e", "--format", "csv"]
search_csv_more	["@fx=basic", "search", "e", "--format", "csv", "--limit", "1"]
search_csv_none	["@fx=basic", "search", "zzz", "--format", "csv"]
search_format_json	["@fx=basic", "search", "e", "--format", "json", "--limit", "1"]
